title,author,genre,price,pages,publisher,year,rating
The Great Gatsby,F. Scott Fitzgerald,Classic Fiction,12.99,180,Scribner,1925,4.2
To Kill a Mockingbird,Harper Lee,Classic Fiction,14.99,281,J.B. Lippincott,1960,4.5
1984,George Orwell,Dystopian,11.99,328,Secker & Warburg,1949,4.4
Pride and Prejudice,Jane Austen,Romance,9.99,432,T. Egerton,1813,4.3
The Catcher in the Rye,J.D. Salinger,Coming of Age,13.99,234,Little Brown,1951,3.9
Brave New World,Aldous Huxley,Dystopian,12.49,311,Chatto & Windus,1932,4.1
The Hobbit,J.R.R. Tolkien,Fantasy,15.99,310,Allen & Unwin,1937,4.7
Fahrenheit 451,Ray Bradbury,Dystopian,10.99,194,Ballantine Books,1953,4.0
Jane Eyre,Charlotte Bronte,Romance,11.49,532,Smith Elder,1847,4.2
Dune,Frank Herbert,Science Fiction,16.99,688,Chilton Books,1965,4.6
The Lord of the Rings,J.R.R. Tolkien,Fantasy,24.99,1178,Allen & Unwin,1954,4.8
Slaughterhouse-Five,Kurt Vonnegut,War Fiction,12.99,275,Delacorte Press,1969,4.1
The Handmaid's Tale,Margaret Atwood,Dystopian,14.99,311,McClelland and Stewart,1985,4.3
Neuromancer,William Gibson,Science Fiction,13.99,271,Ace Books,1984,4.0
Foundation,Isaac Asimov,Science Fiction,14.49,244,Gnome Press,1951,4.4
Wuthering Heights,Emily Bronte,Romance,10.99,416,Thomas Cautley Newby,1847,3.8
Animal Farm,George Orwell,Satire,8.99,112,Secker & Warburg,1945,4.3
The Left Hand of Darkness,Ursula K. Le Guin,Science Fiction,13.49,286,Ace Books,1969,4.2
Beloved,Toni Morrison,Historical Fiction,15.49,324,Alfred A. Knopf,1987,4.0
The Color Purple,Alice Walker,Historical Fiction,12.99,295,Harcourt Brace Jovanovich,1982,4.2
